Order_ID,Customer_ID,Order_Timestamp,City,Payment_Mode,Product_Category,Product_Name,Price,Discount_Percentage,Final_Price,Quantity,Total_Spend,Customer_Age_Group,Delivery_Time_Minutes,Rider_Rating
ZP100000,3985,2024-01-01 00:00:00,Chennai,UPI,Fruits,Butter,312.42,15,265.56,1,265.56,51+,37,4.3
ZP100001,1029,2024-01-01 00:01:00,Delhi,Debit Card,Vegetables,Tomato,113.83,0,113.83,3,341.49,18-25,41,3.6
ZP100002,3591,2024-01-01 00:02:00,Bangalore,UPI,Beverages,Chips,357.85,15,304.17,5,1520.85,51+,14,4.4
ZP100003,3425,2024-01-01 00:03:00,Mumbai,Credit Card,Vegetables,Apple,413.85,5,393.16,2,786.32,18-25,14,4.2
ZP100004,1872,2024-01-01 00:04:00,Chennai,Cash,Fruits,Chips,401.29,20,321.03,2,642.06,36-50,13,4.7
ZP100005,4023,2024-01-01 00:05:00,Bangalore,Debit Card,Bakery,Juice,293.96,20,235.17,2,470.34,18-25,43,3.7
ZP100006,5626,2024-01-01 00:06:00,Kolkata,Cash,Bakery,Tomato,128.84,0,128.84,4,515.36,18-25,14,4.1
ZP100007,6054,2024-01-01 00:07:00,Chennai,UPI,Beverages,Bread,462.9,5,439.75,1,439.75,36-50,29,4.2
ZP100008,4074,2024-01-01 00:08:00,Chennai,Debit Card,Snacks,Bread,141.99,10,127.79,3,383.37,26-35,28,4.2
ZP100009,3582,2024-01-01 00:09:00,Mumbai,Cash,Dairy,Milk,76.5,20,61.2,2,122.4,51+,30,4.0
ZP100010,6966,2024-01-01 00:10:00,Mumbai,UPI,Snacks,Bread,245.8,5,233.51,1,233.51,51+,28,3.9
ZP100011,9688,2024-01-01 00:11:00,Chennai,UPI,Bakery,Tomato,416.2,10,374.58,2,749.16,36-50,16,3.6
ZP100012,9610,2024-01-01 00:12:00,Mumbai,UPI,Vegetables,Chips,233.82,25,175.36,4,701.44,18-25,16,4.8
ZP100013,1122,2024-01-01 00:13:00,Bangalore,Credit Card,Fruits,Juice,225.62,25,169.22,2,338.44,36-50,34,4.2
ZP100014,9717,2024-01-01 00:14:00,Mumbai,Cash,Beverages,Butter,470.04,10,423.04,2,846.08,36-50,44,3.8
ZP100015,9704,2024-01-01 00:15:00,Delhi,Debit Card,Snacks,Apple,353.33,0,353.33,5,1766.65,36-50,41,3.8
ZP100016,6697,2024-01-01 00:16:00,Chennai,Cash,Beverages,Tomato,124.52,0,124.52,2,249.04,26-35,39,4.9
ZP100017,3939,2024-01-01 00:17:00,Bangalore,Credit Card,Vegetables,Bread,184.66,0,184.66,3,553.98,36-50,30,4.4
ZP100018,2489,2024-01-01 00:18:00,Delhi,Credit Card,Fruits,Juice,43.9,15,37.32,2,74.64,26-35,26,4.3
ZP100019,6293,2024-01-01 00:19:00,Delhi,Credit Card,Fruits,Chips,358.94,0,358.94,1,358.94,18-25,12,3.8
ZP100020,5961,2024-01-01 00:20:00,Delhi,Credit Card,Dairy,Butter,201.07,15,170.91,5,854.55,51+,38,4.9
ZP100021,4866,2024-01-01 00:21:00,Delhi,UPI,Beverages,Bread,87.46,0,87.46,2,174.92,51+,32,4.7
ZP100022,2838,2024-01-01 00:22:00,Chennai,Debit Card,Beverages,Chips,237.36,25,178.02,2,356.04,51+,29,3.9
ZP100023,5770,2024-01-01 00:23:00,Mumbai,Cash,Fruits,Tomato,491.11,10,442.0,5,2210.0,36-50,28,4.7
ZP100024,2477,2024-01-01 00:24:00,Chennai,UPI,Dairy,Milk,80.74,0,80.74,5,403.7,18-25,20,4.2
ZP100025,2320,2024-01-01 00:25:00,Kolkata,Cash,Beverages,Chips,368.73,10,331.86,5,1659.3,51+,32,4.3
ZP100026,7502,2024-01-01 00:26:00,Kolkata,Debit Card,Dairy,Apple,295.58,20,236.46,2,472.92,18-25,40,4.6
ZP100027,9418,2024-01-01 00:27:00,Bangalore,Debit Card,Dairy,Tomato,150.62,20,120.5,2,241.0,26-35,42,4.7
ZP100028,3756,2024-01-01 00:28:00,Kolkata,Cash,Fruits,Apple,285.4,5,271.13,2,542.26,51+,40,5.0
ZP100029,9678,2024-01-01 00:29:00,Kolkata,Credit Card,Bakery,Bread,35.79,5,34.0,5,170.0,51+,41,3.6
ZP100030,1865,2024-01-01 00:30:00,Kolkata,Credit Card,Fruits,Chips,191.82,5,182.23,2,364.46,26-35,23,4.0
ZP100031,2986,2024-01-01 00:31:00,Mumbai,Cash,Beverages,Juice,27.41,10,24.67,2,49.34,51+,34,3.8
ZP100032,4558,2024-01-01 00:32:00,Mumbai,Cash,Dairy,Milk,185.08,0,185.08,5,925.4,18-25,10,3.8
ZP100033,3532,2024-01-01 00:33:00,Bangalore,Credit Card,Vegetables,Bread,169.49,15,144.07,1,144.07,36-50,44,3.7
ZP100034,4521,2024-01-01 00:34:00,Mumbai,Debit Card,Beverages,Chips,275.66,0,275.66,4,1102.64,18-25,22,4.9
ZP100035,5016,2024-01-01 00:35:00,Bangalore,Debit Card,Beverages,Chips,117.61,15,99.97,3,299.91,36-50,39,3.7
ZP100036,5921,2024-01-01 00:36:00,Chennai,Credit Card,Vegetables,Milk,165.86,5,157.57,3,472.71,18-25,39,4.7
ZP100037,2695,2024-01-01 00:37:00,Mumbai,Debit Card,Dairy,Juice,165.1,5,156.84,1,156.84,51+,21,4.8
ZP100038,9166,2024-01-01 00:38:00,Kolkata,UPI,Snacks,Milk,492.16,10,442.94,1,442.94,18-25,30,3.6
ZP100039,6239,2024-01-01 00:39:00,Chennai,Cash,Fruits,Butter,437.36,0,437.36,2,874.72,26-35,38,4.6
ZP100040,2840,2024-01-01 00:40:00,Chennai,Cash,Dairy,Apple,210.81,15,179.19,2,358.38,26-35,32,4.3
ZP100041,9865,2024-01-01 00:41:00,Delhi,Cash,Dairy,Apple,440.73,20,352.58,4,1410.32,36-50,16,4.6
ZP100042,8964,2024-01-01 00:42:00,Delhi,Cash,Dairy,Butter,344.11,20,275.29,5,1376.45,26-35,41,4.0
ZP100043,3162,2024-01-01 00:43:00,Chennai,Debit Card,Bakery,Butter,239.86,10,215.87,4,863.48,51+,36,4.9
ZP100044,4964,2024-01-01 00:44:00,Kolkata,Debit Card,Beverages,Milk,106.51,5,101.18,5,505.9,18-25,29,3.9
ZP100045,4889,2024-01-01 00:45:00,Bangalore,Credit Card,Bakery,Butter,302.01,5,286.91,1,286.91,51+,13,4.7
ZP100046,3246,2024-01-01 00:46:00,Delhi,Credit Card,Beverages,Juice,171.21,0,171.21,2,342.42,26-35,25,4.8
ZP100047,9960,2024-01-01 00:47:00,Kolkata,UPI,Bakery,Milk,415.16,5,394.4,2,788.8,26-35,13,3.7
ZP100048,9239,2024-01-01 00:48:00,Kolkata,Debit Card,Snacks,Tomato,250.58,10,225.52,4,902.08,36-50,40,4.6
ZP100049,1237,2024-01-01 00:49:00,Delhi,Debit Card,Bakery,Juice,357.08,5,339.23,4,1356.92,18-25,30,3.9
ZP100050,2709,2024-01-01 00:50:00,Bangalore,UPI,Bakery,Milk,440.77,10,396.69,4,1586.76,26-35,17,4.7
ZP100051,3223,2024-01-01 00:51:00,Kolkata,Credit Card,Beverages,Milk,464.33,10,417.9,1,417.9,51+,36,4.3
ZP100052,2961,2024-01-01 00:52:00,Bangalore,Credit Card,Vegetables,Apple,289.94,5,275.44,4,1101.76,36-50,30,4.9
ZP100053,4803,2024-01-01 00:53:00,Mumbai,Credit Card,Dairy,Apple,39.12,0,39.12,1,39.12,18-25,22,4.9
ZP100054,1348,2024-01-01 00:54:00,Chennai,Credit Card,Bakery,Butter,20.75,15,17.64,3,52.92,51+,24,3.6
ZP100055,9515,2024-01-01 00:55:00,Chennai,UPI,Beverages,Milk,484.75,5,460.51,5,2302.55,51+,40,4.3
ZP100056,5743,2024-01-01 00:56:00,Mumbai,Debit Card,Beverages,Milk,49.02,10,44.12,4,176.48,26-35,35,4.3
ZP100057,7498,2024-01-01 00:57:00,Bangalore,UPI,Vegetables,Juice,466.78,25,350.08,1,350.08,51+,17,3.7
ZP100058,6283,2024-01-01 00:58:00,Kolkata,Credit Card,Bakery,Chips,437.25,15,371.66,2,743.32,18-25,23,4.7
ZP100059,2130,2024-01-01 00:59:00,Mumbai,Debit Card,Vegetables,Milk,270.01,10,243.01,5,1215.05,26-35,28,3.9
ZP100060,6787,2024-01-01 01:00:00,Chennai,Cash,Snacks,Chips,218.09,5,207.19,1,207.19,51+,40,4.9
ZP100061,5331,2024-01-01 01:01:00,Mumbai,UPI,Bakery,Tomato,217.59,5,206.71,5,1033.55,51+,38,4.6
ZP100062,7936,2024-01-01 01:02:00,Kolkata,Cash,Beverages,Butter,241.04,25,180.78,5,903.9,26-35,28,3.9
ZP100063,7361,2024-01-01 01:03:00,Chennai,Cash,Bakery,Bread,73.21,25,54.91,4,219.64,18-25,17,4.0
ZP100064,1320,2024-01-01 01:04:00,Chennai,Cash,Snacks,Juice,451.2,0,451.2,3,1353.6,18-25,21,4.0
ZP100065,5089,2024-01-01 01:05:00,Bangalore,UPI,Dairy,Butter,140.7,5,133.66,2,267.32,18-25,24,4.6
ZP100066,3951,2024-01-01 01:06:00,Chennai,Credit Card,Vegetables,Tomato,311.74,10,280.57,2,561.14,51+,34,3.9
ZP100067,3127,2024-01-01 01:07:00,Delhi,Debit Card,Dairy,Apple,419.66,5,398.68,2,797.36,18-25,12,4.8
ZP100068,6397,2024-01-01 01:08:00,Bangalore,Cash,Vegetables,Juice,53.52,20,42.82,3,128.46,26-35,17,4.5
ZP100069,4512,2024-01-01 01:09:00,Delhi,UPI,Fruits,Bread,69.77,0,69.77,2,139.54,51+,18,3.6
ZP100070,6861,2024-01-01 01:10:00,Bangalore,UPI,Vegetables,Butter,327.24,0,327.24,2,654.48,36-50,39,4.7
ZP100071,9870,2024-01-01 01:11:00,Kolkata,Cash,Snacks,Chips,382.13,20,305.7,5,1528.5,18-25,41,4.9
ZP100072,5113,2024-01-01 01:12:00,Kolkata,Debit Card,Snacks,Tomato,384.08,0,384.08,3,1152.24,18-25,44,4.4
